timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu_temp_c,gpu_util_pct,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-10T12:24:58.021,5.2,0.0,4.99,1.24,0.00,11.84,27,14,0.0,0.0,12.0,4312,1718,900,900,891,900,900,901,900,896,900,3775,900,900,898,900
2026-02-10T12:24:59.393,3.1,0.0,4.73,0.97,0.00,11.48,27,7,0.0,31.6,12.0,1227,4214,1820,900,900,901,900,1376,900,899,3858,900,898,895,900,900
2026-02-10T12:25:00.737,2.5,0.0,4.60,0.94,0.00,11.43,27,7,0.0,0.0,12.0,4180,2598,3377,897,900,900,895,1191,1349,900,901,901,900,900,897,1230
2026-02-10T12:25:02.077,3.1,0.0,5.92,0.97,0.00,11.54,27,9,0.0,0.0,12.0,3449,4569,1244,1001,900,901,894,1383,900,897,900,899,900,3818,899,900
2026-02-10T12:25:03.417,2.9,0.0,5.73,1.09,0.00,11.52,27,7,0.0,0.0,12.0,4076,1267,900,901,900,900,900,1013,905,901,900,3864,997,900,898,900
2026-02-10T12:25:04.785,2.4,0.0,6.75,1.29,0.00,11.67,27,5,0.0,134.6,12.0,4784,1048,870,900,897,900,897,4234,900,900,900,900,899,901,900,896
2026-02-10T12:25:06.153,3.6,0.0,4.60,1.04,0.00,11.74,27,11,0.0,0.0,12.0,4811,3512,1702,900,900,900,897,900,900,901,900,893,897,900,898,900
2026-02-10T12:25:07.521,3.4,0.0,4.70,1.23,0.00,11.45,27,7,0.0,0.0,11.8,3987,2431,902,901,1595,900,898,900,1282,900,1268,896,900,900,900,3598
2026-02-10T12:25:08.833,2.8,0.0,4.41,1.04,0.00,11.28,27,5,0.0,0.0,11.8,4534,4087,1339,900,900,900,899,900,900,901,897,900,900,900,888,901
2026-02-10T12:25:10.201,5.9,0.1,6.57,2.55,0.00,11.72,27,22,0.0,95.5,12.0,1470,3174,1204,2133,1223,900,1400,902,2093,1041,914,920,1302,1156,1142,1067
2026-02-10T12:25:11.477,7.8,0.0,5.82,1.59,0.00,11.88,27,24,0.0,22.9,12.0,3170,1705,1845,896,1075,1177,1026,935,1084,967,1414,1500,3954,902,1456,901
2026-02-10T12:25:12.813,6.3,0.0,5.48,1.57,0.00,11.81,27,15,0.0,0.0,11.8,4526,2141,1823,900,1355,901,2633,900,1051,897,900,898,900,900,900,1318
2026-02-10T12:25:14.161,3.6,0.0,6.55,1.07,0.00,11.48,27,5,0.0,0.0,11.8,3145,1154,900,900,900,900,898,890,899,901,900,900,900,900,900,4296
